"S.No","Collection Platform Name","Collection Platform Code","SUSHI Compliant","Platform Last Processed Date","Reports Available"
"1","American Association for the Advancement of Science","aaas","N","2016-09-30","JR3,JR1"
"2","ACM Digital Library","acm","N","2016-09-30","JR1,BR1"
"3","American Chemical Society","acs","N","2016-09-30","JR2,BR2,JR1a,PR1,JR1,JR3"
"4","American Meteorological Society","all","N","2016-09-30","JR1"
"5","Alexander Street Press","als","N","2016-09-30","DB1,DB2"
"6","American Mathematical Society","ams","N","2016-09-30","DB1,JR2,JR1"
"7","American Physical Society","aps","N","2016-09-30","JR3,JR1a,JR1"
"8","BioOne","bio","Y","2016-09-30","BR2,JR3,JR2,JR1,PR1"
"9","British Medical Journal","bmj","N","2016-09-30","JR1a,JR2,JR1,JR3"
"10","Brill Online","brill","N","2016-09-30","JR1,BR2,BR1"
"11","Chadwyck-Healey","cdh","N","2016-09-30","PR1,DB1,JR1,DB2"
"12","CRCnetbase","crc","N","2016-09-30","PR1,DB1"
"13","Cambridge Journals Online","cup","Y","2016-09-30","JR1,JR1a"
"14","Duke University Press","dup","N","2016-09-30","JR1a,JR2,JR1,JR3"
"15","EBSCOhost","ebsco","N","2016-09-30","BR1,DB2,PR1,DB1,JR1"
"16","Elsevier Engineering Village","eev","N","2016-09-30","DB1"
"17","Elsevier ScienceDirect","else","N","2016-08-31","JR1,JR2,BR2,PR1"
"18","Gale","gale","N","2016-09-30","DB1,JR1,BR2,DB2"
"19","HighWire Press","high","N","2016-09-30","JR1,JR3,JR1a"
"20","IEEE Xplore","ieee","Y","2016-09-30","JR3,JR1,JR2"
"21","Taylor and Francis Online","inf","Y","2016-09-30","JR3,DB2,DB1,JR1a,PR1,BR2,JR2,JR1"
"22","IngentaConnect","ing","N","2016-09-30","DB1,JR2,JR1"
"23","Institute of Physics Publishing","iop","Y","2016-09-30","JR2,JR3,JR1"
"24","Thomson Scientific","isi","N","2016-09-30","DB1"
"25","JSTOR","jst","N","2016-09-30","JR1,JR2,PR1,JR1a"
"26","Karger","kjb","N","2016-09-30","BR1,JR1,BR2,JR1a"
"27","Mary Ann Liebert","mal","Y","2016-09-30","JR2,BR2,JR1a,PR1,JR1,JR3"
"28","MIT Press Journals","mit","N","2016-09-30","JR1a,PR1,JR1,JR3"
"29","New England Journal of Medicine","nejm","Y","2016-09-30","JR1,JR3,JR1a"
"30","Nature Publishing Group","npg","Y","2016-09-30","JR1,JR3,JR1a,JR2"
"31","NRC Research Press","nrc","N","2016-09-30","JR1,JR3,JR2,BR2,JR1a,PR1"
"32","OCLC FirstSearch","oclc","N","2016-09-30","DB2,JR1,DB1,DB3"
"33","Optics InfoBase","osa","N","2016-09-30","JR1,DB1"
"34","Oxford Journals Online","oup","N","2016-09-30","JR1,JR1a"
"35","OvidSP","ovsp","N","2016-09-30","DB1,JR1,JR2,BR1,DB2,JR1a"
"36","Oxford University Press","oxfup","N","2016-09-30","JR2,JR1,PR1,BR2,JR1a"
"37","Project MUSE","prom","N","2016-09-30","JR2,JR1,PR1,DB1,JR3"
"38","ProQuest","proq","N","2016-09-30","JR1,JR3,JR2,DB1,JR1a,PR1"
"39","Royal Society of Chemistry","rsc","Y","2016-09-30","PR1,BR2,JR1,JR3,JR2,DB1,JR1a"
"40","Safari","safr","N","2016-09-30","BR2"
"41","SAGE Publications","sage","N","2016-09-30","JR1,JR3,JR1a,JR2"
"42","Scitation","scit","N","2016-09-30","JR1,PR1,JR1a,JR2"
"43","Scopus","scop","N","2016-08-31","PR1"
"44","Society for Industrial and Applied Mathematics","siam","N","2016-09-30","PR1,JR1a,BR2,JR3,JR1"
"45","SPIE Digital Library","spie","N","2016-09-30","JR2,JR1,BR2"
"46","SpringerLink","spr","N","2016-09-30","JR1,BR2,JR2"
"47","Wiley Online Library","wil","N","2016-09-30","JR1,JR2,BR2,JR1a"
